timestamp,electricity_price,ambient_temperature,solar_radiation,heat_pump_cop,heat_pump_power_max,temperature_room_1_min,temperature_room_1_max,temperature_room_2_min,temperature_room_2_max,temperature_room_3_min,temperature_room_3_max,temperature_room_4_min,temperature_room_4_max,temperature_room_5_min,temperature_room_5_max,temperature_room_1_air,temperature_room_1_internal,discomfort_room_1,heat_flow_room_1,temperature_room_2_air,temperature_room_2_internal,discomfort_room_2,heat_flow_room_2,temperature_room_3_air,temperature_room_3_internal,discomfort_room_3,heat_flow_room_3,temperature_room_4_air,temperature_room_4_internal,discomfort_room_4,heat_flow_room_4,temperature_room_5_air,temperature_room_5_internal,discomfort_room_5,heat_flow_room_5,heat_flow_total,heat_pump_power,discomfort_total,costs
2023-01-05 03:45:00,0.00811,10.693333333333332,3.656514506666667,3.4080987663222926,4404.690572985504,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.339497070928918,23.496547500689175,0.0,0.015507691745529992,23.1785408436867,23.33195419808022,0.0,0.01489590409641685,23.316822894605313,23.473413497651492,0.0,0.01542142823879893,23.317240602468456,23.473742042133644,0.0,0.015422066808810727,23.238773865222555,23.39374572414012,0.0,0.015135795982934895,0.0763828868724914,0.022412169396991036,0.0,0.00018176269380959728
2023-01-05 04:00:00,0.01007,10.720000000000002,0.0,3.410840950458604,4405.185342043784,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.3182616830162,23.47445002732303,0.0,0.012147037655852858,23.160511683038873,23.31360326227612,0.0,0.011966618490414844,23.296027023615988,23.451851043591276,0.0,0.012130314405353176,23.296438257974444,23.45216943916559,0.0,0.012131022249399217,23.21958958935878,23.37398397588004,0.0,0.011832457047785572,0.06020744984880567,0.017651790489002568,0.0,0.00017775353022425586
2023-01-05 04:15:00,0.0228125,10.793333333333337,1.8051144800000003,3.418423404703749,4406.585467894808,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.295255378781107,23.452337502661297,0.0,0.005372361940536861,23.140806171811217,23.29518598290423,0.0,0.005170480459210352,23.27348286897489,23.430263435375092,0.0,0.005362016465264211,23.273886574153856,23.43057204318525,0.0,0.005362136748983623,23.198680685402916,23.354178553393638,0.0,0.005352332969525199,0.026619328583520244,0.007787019169975276,0.0,0.000177641374815061
2023-01-05 04:30:00,0.0355549999999999,10.820000266666666,4.962412726666667,3.4211954393415676,4407.104300220809,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.27403047100731,23.430236635865977,0.0,0.003377302670427101,23.12290459606032,23.276734190748172,0.0,0.0033729980768930612,23.252727915543414,23.408679496265467,0.0,0.0033789029379186425,23.253123549316037,23.408978583665757,0.0,0.003378898622326085,23.17955919023196,23.334358082622654,0.0,0.0033753850166079766,0.016883487324172865,0.004934967213513592,0.0,0.00017546275927647528
2023-01-05 04:45:00,0.0482975,10.926667133333334,4.281361733333332,3.4323593643996975,4409.190595418898,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.254313862544816,23.408359418197513,0.0,0.0008840765364378788,23.10664163830622,23.258444471818237,0.0,0.0008831825245783406,23.233501277298153,23.387309905936714,0.0,0.000881086027544691,23.233887926453516,23.38759981351775,0.0,0.0008810948164245881,23.16202063163017,23.31472447976778,0.0,0.0008826014224451346,0.004412041327430633,0.001285425230584,0.0,6.208282507413074e-05
2023-01-05 05:00:00,0.06104,11.013333333333332,1.8447875306666663,3.4415158738130756,4410.847594555967,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.234288808053922,23.38674282192307,0.0,0.0007004181484727074,23.09007289069834,23.240363922980997,0.0,0.0007011720913023445,23.213966663154075,23.36619353580441,0.0,0.0006979942498283353,23.214343947792216,23.36647450635741,0.0,0.0006979991508444705,23.144169804067122,23.29532070057183,0.0,0.0006998101025199816,0.0034973937429678393,0.0010162364118613968,0.0,6.203107058001966e-05
2023-01-05 05:15:00,0.0675775,11.07333333333333,0.0462848799999999,3.4478980176606258,4411.943872875774,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.213189286853968,23.36525700159496,0.0,0.000636337149749022,23.07238093993464,23.222384656425596,0.0,0.000636330815262403,23.193350496051515,23.34520372200404,0.0,0.0006344540633008847,23.193718544397466,23.34547582568766,0.0,0.0006344583384332466,23.125210646357143,23.276030007703994,0.0,0.000635645438106597,0.0031772258048521533,0.0009214964562692833,0.0,6.227242677353749e-05
2023-01-05 05:30:00,0.074115,11.113333333333328,0.0,3.4521716102651694,4412.641258266874,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.191590154742574,23.343785663137364,0.0,0.000582665633128212,23.054127609306917,23.204403356568534,0.0,0.0005824654221657552,23.172226009586602,23.324225932993606,0.0,0.0005812247522837366,23.17258516393692,23.324489154861965,0.0,0.0005812282434056024,23.105711771383447,23.256743654528627,0.0,0.0005820434056510145,0.0029096274566343203,0.0008428397499076893,0.0,6.24670680644084e-05
2023-01-05 05:45:00,0.0806525,11.119999999999996,0.0,3.4528853087050435,4412.754426679273,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.170396493286542,23.322326886289776,0.0,0.0005367120923609066,23.036253296841174,23.18641465526799,0.0,0.0005365520535389062,23.15150341111878,23.30325771801204,0.0,0.0005356283852398962,23.151853843052532,23.303512080667268,0.0,0.0005356310080851404,23.08660126625582,23.23745728896136,0.0,0.0005362338257173158,0.0026807573649421652,0.0007763818155742757,0.0,6.261713438060427e-05
2023-01-05 06:00:00,0.08719,11.119999999999996,0.0,3.4528853087050435,4412.754426679273,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,23.14928209566271,23.300908549577986,0.0,0.0004971595729140561,23.01847661653533,23.168444785544903,0.0,0.0004970431894917592,23.130862540311526,23.282326794965016,0.0,0.0004963141868537978,23.13120422097773,23.282572350814135,0.0,0.0004963161819511573,23.06758074905976,23.218197804803218,0.0,0.0004967712302824211,0.0024836043614931917,0.0007192837697886446,0.0,6.271435188787193e-05
