timestamp,electricity_price,ambient_temperature,solar_radiation
2022-12-13 17:15:00,0.5776,-2.5200000000000005,1.7323816133333336
2022-12-13 17:30:00,0.5592600000000001,-2.5533333333333337,0.0
2022-12-13 17:45:00,0.5409200000000001,-2.5933333333333337,1.520792466666666
2022-12-13 18:00:00,0.52258,-2.613333333333334,0.0
2022-12-13 18:15:00,0.5050525,-2.6600000000000006,3.32921328
2022-12-13 18:30:00,0.487525,-2.606666666666667,0.1884457866666667
2022-12-13 18:45:00,0.4699975,-2.646666666666667,0.0
2022-12-13 19:00:00,0.45247,-2.6333333333333337,2.93579117
2022-12-13 19:15:00,0.4278,-2.5733333333333333,0.0
2022-12-13 19:30:00,0.40313,-2.5200000000000005,0.0
2022-12-13 19:45:00,0.37846,-2.5133333333333336,0.99512728
2022-12-13 20:00:00,0.35379,-2.4799999999999995,0.0
2022-12-13 20:15:00,0.3456,-2.493333333333333,1.7290753533333338
2022-12-13 20:30:00,0.33741,-2.4199999999999995,1.7819724733333335
2022-12-13 20:45:00,0.3292199999999999,-2.406666666666666,0.0
2022-12-13 21:00:00,0.32103,-2.3933333333333326,1.094309406666667
2022-12-13 21:15:00,0.3115425,-2.3733333333333326,0.0
2022-12-13 21:30:00,0.3020549999999999,-2.32,0.0
2022-12-13 21:45:00,0.2925675,-2.3200000000000003,0.7802327599999999
2022-12-13 22:00:00,0.28308,-2.293333333333333,1.4712016733333333
2022-12-13 22:15:00,0.281015,-2.213333333333333,3.1936645866666664
2022-12-13 22:30:00,0.27895,-2.1533333333333338,4.403686386666666
2022-12-13 22:45:00,0.276885,-2.086666666666668,0.2413428199999998
2022-12-13 23:00:00,0.27482,-2.0,6.2616984533333335
2022-12-13 23:15:00,0.2737325,-1.8866666666666667,0.0
2022-12-13 23:30:00,0.272645,-1.6733333333333331,4.0069585
2022-12-13 23:45:00,0.2715575,-1.5800000000000003,3.0713402533333336
2022-12-14 00:00:00,0.27047,-1.4933333333333332,7.124583293333334
2022-12-14 00:15:00,0.270025,-1.4199999999999997,4.459889876666667
2022-12-14 00:30:00,0.26958,-1.346666666666667,4.32434068
2022-12-14 00:45:00,0.269135,-1.3333333333333337,0.0
2022-12-14 01:00:00,0.26869,-1.2933333333333337,1.1736549866666663
2022-12-14 01:15:00,0.2710675,-1.28,2.25143438
2022-12-14 01:30:00,0.273445,-1.2333333333333332,1.3025916666666666
2022-12-14 01:45:00,0.2758224999999999,-1.0599999999999998,2.925872746666666
2022-12-14 02:00:00,0.2782,-1.0399999999999998,0.0
2022-12-14 02:15:00,0.2787024999999999,-1.16,5.52444424
2022-12-14 02:30:00,0.279205,-1.16,2.4134318999999995
2022-12-14 02:45:00,0.2797075,-1.0733333333333333,3.537495606666667
2022-12-14 03:00:00,0.2802099999999999,-1.0799999999999998,0.0
2022-12-14 03:15:00,0.2879349999999999,-0.9933333333333334,0.0
2022-12-14 03:30:00,0.29566,-0.9266666666666667,0.0
2022-12-14 03:45:00,0.303385,-0.9066666666666668,1.4844257066666666
2022-12-14 04:00:00,0.31111,-0.9466666666666668,0.4297892266666669
2022-12-14 04:15:00,0.3255375,-0.8733333333333336,0.0
2022-12-14 04:30:00,0.3399649999999999,-0.9066666666666668,2.942403293333334
2022-12-14 04:45:00,0.3543925,-0.8800000000000001,4.972330406666666
2022-12-14 05:00:00,0.36882,-0.8666666666666668,5.154164673333335
2022-12-14 05:15:00,0.4003575,-0.9000000000000002,3.068033326666666
2022-12-14 05:30:00,0.431895,-0.8866666666666668,4.45989
2022-12-14 05:45:00,0.4634325,-0.8800000000000003,7.914734506666666
2022-12-14 06:00:00,0.49497,-0.8866666666666668,2.836608486666667
2022-12-14 06:15:00,0.506225,-0.9066666666666668,1.8613179466666667
2022-12-14 06:30:00,0.5174799999999999,-1.0066666666666666,5.322774560000001
2022-12-14 06:45:00,0.528735,-1.0066666666666666,2.049763973333333
2022-12-14 07:00:00,0.53999,-1.0866666666666664,1.6497288733333335
2022-12-14 07:15:00,0.5474224999999999,-1.0533333333333332,0.7108052333333333
2022-12-14 07:30:00,0.554855,-1.14,1.6927083266666665
2022-12-14 07:45:00,0.5622875,-1.1933333333333331,5.564117133333332
2022-12-14 08:00:00,0.56972,-1.1933333333333331,11.8687946
2022-12-14 08:15:00,0.568585,-0.9666666666666668,8.599090733333334
2022-12-14 08:30:00,0.56745,-0.7133333333333333,10.946401266666667
2022-12-14 08:45:00,0.5663149999999999,-1.1933333333333336,37.666066666666666
2022-12-14 09:00:00,0.5651799999999999,-1.2466666666666668,59.82335133333333
2022-12-14 09:15:00,0.5658874999999999,-1.3066666666666669,24.34259946666667
