,timestamp,ambient_temperature_[degree_celsius],electricity_price_[cent_per_kilowatt_hour],heat_pump_coefficient_of_performance,heat_pump_maximum_electrical_power_[watt],room_1_maximum_air_temperature_[degree_celsius],room_1_minimum_air_temperature_[degree_celsius],room_2_maximum_air_temperature_[degree_celsius],room_2_minimum_air_temperature_[degree_celsius],room_3_maximum_air_temperature_[degree_celsius],room_3_minimum_air_temperature_[degree_celsius],room_4_maximum_air_temperature_[degree_celsius],room_4_minimum_air_temperature_[degree_celsius],room_5_maximum_air_temperature_[degree_celsius],room_5_minimum_air_temperature_[degree_celsius],solar_radiation_[watt_per_square_meter]
0,2022-06-20 00:00:00+00:00,20.79,6.3,5.68,2079.44,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.9
1,2022-06-20 00:15:00+00:00,20.46,6.3,5.71,2063.1,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.42
2,2022-06-20 00:30:00+00:00,20.56,6.3,5.7,2068.18,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.85
3,2022-06-20 00:45:00+00:00,20.25,6.3,5.73,2053.05,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.14
4,2022-06-20 01:00:00+00:00,20.0,6.0,5.75,2040.93,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.4
5,2022-06-20 01:15:00+00:00,19.82,6.0,5.77,2032.6,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,4.37
6,2022-06-20 01:30:00+00:00,19.51,6.0,5.8,2018.08,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,7.82
7,2022-06-20 01:45:00+00:00,19.4,6.0,5.81,2013.07,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,7.67
8,2022-06-20 02:00:00+00:00,19.08,5.5,5.84,1998.7,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.72
9,2022-06-20 02:15:00+00:00,18.88,5.5,5.86,1990.03,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.63
10,2022-06-20 02:30:00+00:00,19.27,5.5,5.83,2007.04,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.19
11,2022-06-20 02:45:00+00:00,20.35,5.5,5.72,2057.73,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.69
12,2022-06-20 03:00:00+00:00,20.54,5.0,5.7,2067.19,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.4
13,2022-06-20 03:15:00+00:00,20.2,5.0,5.73,2050.32,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,8.19
14,2022-06-20 03:30:00+00:00,19.74,5.0,5.78,2028.55,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,14.02
15,2022-06-20 03:45:00+00:00,19.46,5.0,5.81,2015.95,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,14.45
16,2022-06-20 04:00:00+00:00,19.32,5.0,5.82,2009.44,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,23.2
17,2022-06-20 04:15:00+00:00,19.31,5.0,5.82,2008.99,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,45.69
18,2022-06-20 04:30:00+00:00,19.42,5.0,5.81,2014.13,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,72.35
19,2022-06-20 04:45:00+00:00,19.52,5.0,5.8,2018.7,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,63.04
20,2022-06-20 05:00:00+00:00,19.53,5.3,5.8,2019.15,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,79.71
21,2022-06-20 05:15:00+00:00,19.56,5.3,5.8,2020.23,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,86.25
22,2022-06-20 05:30:00+00:00,19.65,5.3,5.79,2024.38,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,104.07
23,2022-06-20 05:45:00+00:00,19.66,5.3,5.79,2025.15,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,122.09
24,2022-06-20 06:00:00+00:00,19.95,5.5,5.76,2038.56,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,154.88
25,2022-06-20 06:15:00+00:00,20.25,5.5,5.73,2052.89,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,178.8
26,2022-06-20 06:30:00+00:00,20.78,5.5,5.68,2078.94,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,234.53
27,2022-06-20 06:45:00+00:00,20.85,5.5,5.67,2082.45,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,279.5
28,2022-06-20 07:00:00+00:00,21.08,5.5,5.65,2094.1,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,392.29
29,2022-06-20 07:15:00+00:00,21.52,5.5,5.6,2116.88,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,423.61
